epoch,loss
1,0.5326968628537655
2,0.5354779169954359
3,0.4675318437220156
4,0.510966745364815
5,0.49727873125195504
6,0.49048505928844216
7,0.44639248900964856
8,0.4380626171517372
9,0.42233393158733845
10,0.43031702717244624
11,0.41422888986855744
12,0.41301990042880177
13,0.4177994544121623
14,0.41688903475627304
15,0.41669636521309616
16,0.4249399374443293
17,0.410911123906225
18,0.4160009416158497
19,0.41247306404218076
20,0.4234073674921691
21,0.4296834481881559
22,0.4263498106533289
23,0.4117099623091519
24,0.454648829433918
25,0.4260539111819863
26,0.4165635363468528
27,0.41819861377060413
28,0.422897730640471
29,0.41514717652112243
30,0.4395253319659829
31,0.428112311501801
32,0.41535160924345255
33,0.41765618517518044
34,0.4166672131061554
35,0.4107595877107978
36,0.40857549601346255
37,0.40746197174310683
38,0.40806148176670076
39,0.4090195841233432
40,0.41114859062880277
41,0.41171778018027544
42,0.4094472652807832
43,0.4083987884575129
44,0.41828491723746064
45,0.41118965900331733
46,0.41064784434974194
47,0.40777153341382744
48,0.40623090972155335
49,0.40526282689601184
50,0.4057661253556609
